x,y
3.843225,6.23985
3.9618754,6.601434
4.010873,6.875899
4.721075,6.960312
3.6558254,6.9248633
3.1080513,6.861195
3.1423502,6.97119
1.8506745,5.8846846
1.8411573,6.5341425
2.3352723,6.9533525
1.4061615,6.6777277
0.7916479,6.8446875
0.13839006,6.6052084
0.0043907166,5.608786
1.2233112,4.3427687
0.85844433,5.836111
-0.49777633,7.0811715
-0.3823352,4.9739637
-0.77191544,6.180094
-1.0231124,7.3190017
-0.81041837,7.775289
0.3779626,7.075881
0.039986968,7.760069
-0.044048786,5.7657804
0.38378608,4.0768433
0.8007107,4.8718104
1.2183403,7.2961617
1.626832,7.5418234
1.1477398,5.5674005
1.9804395,6.9406934
2.5787249,7.8282003
1.1651156,7.822313
2.7177362,8.072923
3.3661592,8.032419
2.218375,7.8859005
4.933849,8.142974
4.5519342,7.797805
3.5760164,8.090499
4.252611,7.987557
4.6182165,7.786504
2.626213,6.9433594
4.4010983,7.5027223
5.8661923,7.909527
5.140776,7.73056
5.020935,7.546265
3.899452,7.616866
6.8248987,7.4686923
7.1007,7.419651
7.112032,7.5118165
6.5093584,7.361667
