x,y
36.204784,-0.83279234
36.54252,-0.8443311
36.830605,-0.85423124
37.158516,-0.86557233
37.486443,-0.876953
38.1822,-0.9013249
38.46055,-0.9111666
38.818478,-0.92385286
39.086952,-0.933414
39.484856,-0.94770604
39.833065,-0.9602965
40.151524,-0.9718781
40.450123,-0.9827991
40.818485,-0.996313
41.087326,-1.0062245
41.47575,-1.0206151
41.774647,-1.0317557
42.133377,-1.0451925
42.482292,-1.0583813
43.200108,-1.0856247
43.409576,-1.0936368
43.738792,-1.1062955
44.068092,-1.119006
44.39752,-1.1318233
44.72707,-1.1447062
45.096706,-1.1592412
45.406506,-1.1714913
45.70644,-1.1834043
46.046482,-1.1969925
46.386658,-1.2106539
46.716953,-1.2240181
47.02746,-1.236711
47.378056,-1.251046
47.718742,-1.2650616
48.079636,-1.2800013
48.43065,-1.2946454
48.79193,-1.3098383
49.08305,-1.3221191
49.424503,-1.3366122
49.77614,-1.3516061
49.967075,-1.3597784
50.419685,-1.37939
50.741608,-1.3933905
50.97307,-1.4035225
51.345406,-1.4198277
51.70786,-1.4358032
52.030163,-1.4500995
52.352615,-1.4644758
52.675163,-1.4789249
53.0079,-1.493905
53.34082,-1.5089878
53.694004,-1.525046
54.02719,-1.5402837
54.360455,-1.5555791
54.68374,-1.570469
55.017296,-1.5859313
55.361126,-1.6019785
55.654396,-1.6156808
56.038837,-1.6337522
56.35256,-1.648555
56.68664,-1.6644228
57.04107,-1.6813202
57.385532,-1.6978476
57.699684,-1.7129852
58.05455,-1.7301513
58.40952,-1.747418
58.713833,-1.7622705
59.048748,-1.7786964
59.47516,-1.7997568
59.810295,-1.8163813
60.064255,-1.8290377
60.409676,-1.8463008
60.745033,-1.8631649
61.110886,-1.8816673
61.395386,-1.896095
61.730595,-1.9131643
62.055405,-1.9297937
62.390144,-1.9470296
62.704254,-1.9632403
63.038235,-1.9805622
63.37169,-1.9979198
63.69448,-2.014796
64.0368,-2.0327764
64.398315,-2.0518498
64.72844,-2.0693543
64.9681,-2.0821228
65.376686,-2.103938
65.694626,-2.1209967
66.021515,-2.1386034
66.376945,-2.157863
66.68199,-2.1744528
66.98609,-2.1910849
67.31838,-2.2093637
67.63981,-2.2271237
67.94026,-2.243825
68.220314,-2.2594945
68.6535,-2.283851
68.96977,-2.3017395
69.294334,-2.3201852
69.60793,-2.3381066
69.85385,-2.3522575
70.28598,-2.3772192
70.52945,-2.391389
70.68826,-2.4006455
71.10708,-2.4251487
71.41274,-2.4431481
71.68938,-2.4595222
72.00144,-2.4780793
72.2938,-2.4955769
72.61198,-2.514704
72.919525,-2.533314
73.20754,-2.550842
73.49417,-2.5683753
73.78837,-2.5864794
74.09876,-2.6056828
74.363464,-2.622182
74.66196,-2.6408806
74.9677,-2.6601686
75.26311,-2.67891
75.5224,-2.6954513
75.814865,-2.7142186
76.09719,-2.732431
76.3695,-2.750119
76.657295,-2.7688987
76.94354,-2.7877061
77.21984,-2.8059726
77.502975,-2.8248065
77.76802,-2.84257
78.03164,-2.8603318
78.31841,-2.8797991
78.57089,-2.8970807
78.84617,-2.9160368
79.152084,-2.9372773
79.408325,-2.9551592
79.60724,-2.9691415
79.85264,-2.986547
80.17569,-3.0095844
80.44195,-3.028706
80.70663,-3.0478296
80.97746,-3.0675647
81.18526,-3.0827894
81.437965,-3.1014483
81.68919,-3.12011
81.938934,-3.1388104
82.45605,-3.178035
82.68578,-3.1956265
82.85556,-3.208691
83.15688,-3.2320497
83.39055,-3.2502935
83.630104,-3.269146
83.896965,-3.290305
84.111885,-3.3074772
84.34706,-3.3264132
84.58781,-3.3459308
84.82004,-3.3649135
85.057755,-3.3844926
85.280075,-3.4029496
85.50793,-3.422027
85.74123,-3.441696
85.9594,-3.4602525
86.176216,-3.4788153
86.411835,-3.49916
86.62581,-3.5177836
86.83844,-3.5364285
87.0629,-3.5562785
87.27917,-3.5755594
87.49409,-3.594884
87.7204,-3.6154056
87.9324,-3.6347919
88.16201,-3.655985
88.615555,-3.6986864
88.752945,-3.711752
88.98263,-3.7337422
89.186,-3.75338
89.375565,-3.7718368
89.57008,-3.790926
89.79331,-3.8129985
89.990875,-3.8327239
90.156944,-3.8495083
90.33978,-3.8680587
90.533104,-3.8878558
90.75419,-3.9106598
90.93889,-3.9298992
91.110695,-3.9479494
91.292725,-3.9672449
91.51831,-3.991385
91.624664,-4.002863
91.8078,-4.022837
92.02281,-4.046409
92.20333,-4.0663853
92.39312,-4.0875726
92.56518,-4.106971
92.735825,-4.1263857
92.90511,-4.1458197
93.07823,-4.1658845
93.28081,-4.1896014
93.43017,-4.207265
93.598694,-4.2273664
93.7758,-4.248712
93.911194,-4.265199
94.09502,-4.2877784
94.27223,-4.309781
94.44268,-4.331187
94.587494,-4.3495536
94.77395,-4.373448
94.90645,-4.390603
95.06593,-4.411469
95.21411,-4.4311767
